Id,Character,Description,Quote,Linkimage
1,Al Borland,"The lovable, good-natured co-host of Tool Time whose work with his hands has won him a place in people's hearts; a sensitive, amiable man in stark contrast to the stereotypical male of touch masculinity and proud chauvinism. At times, Al struggles to keep a steady woman relationship and his lifestyles and manners make him an unpopular, dull creature among others. Nonetheless, with his caring, innocent nature, the humble Al has proven America to be the everyman, the nice guy who finishes last, the underdog.",,AlBorland.jpg
2,Al Bundy,"The popular shoe salesman who made America laugh because of a lackluster life he led after high school; a hapless man who never got what he wanted which was to play football. Instead, he works for a minimum-wage job that he hates to provide for a family that disrespects him. When able to reverse his dreadful, downtrodden situation, he never seems to win, or make it happen or come out on top. So while the aging, relic endures a dissatisfying existence he gives comfort to ever average, low-paid American who almost won the big one.","I fight honking traffic just for the privilege of putting cheap shoes onto the cloven hooves of people like you. I'll never play football like I wanted to. I'll never know the touch of a beautiful woman. And I'll never know the joy of driving through the city without a bag over my head. But I'm not a loser. Because, despite it all, me and every other guy who'll never be what they wanted to be, is out there, being what we don't want to be, forty hours a week, for life. And the fact that I haven't put a gun in my mouth, you pudding of a woman, makes me a winner!",AlBundy.jpg
3,Alyosha,"The stable-minded, loving novice in a Russian monastery, Alyosha finds close mentorship with the monastic elder, Zosima, and love from feuding school boys. Caught in a clashing family struggle over finances and lust, Alyosha continues his honest, religious, caring ways -leading by example. With murder dripping its blood, jealousy treading its steps, the young religious cadet carries the love of Christ with him. This little known young man turned a family name of madness and violence completely around for kindness and humanity, testimony that meekness is a powerful trait.",,Alyosha.jpg
4,Arthur Dimmesdale,"The New England minister with sad, weary eyes and a steady hand over his heart. Pained by a sinful act, Arthur Dimmesdale walks the earth sick and scared of a lost reputation and redemptive God. He lacks the courage to reveal himself. Through profound liturgies and lessons he feels the hard weight of a Puritan society. As his accomplice in crime carries her shame openly, Reverend Dimmesdale tortures his red mark in secret. But open to human eyes, Arthur finally gushes out what was so long kept dormant underneath. His boulder of pain kept him the meek lamb he so long preached about.","I, whom you behold in these black garments of the priesthood,–I, who ascend the sacred desk, and turn my pale face heavenward, taking upon myself to hold communion, in your behalf, with the Most High Omniscience,–I, in whose daily life you discern the sanctity of Enoch,–I, whose footsteps, as you suppose, leave a gleam along my earthly track, whereby the pilgrims that shall come after me may be guided to the regions of the blest,–I, who have laid the hand of baptism upon your children,–I, who have breathed the parting prayer over your dying friends, to whom the Amen sounded faintly from a world which they had quitted,–I, your pastor, whom you so reverence and trust, am utterly a pollution and a lie!",ArthurDimmesdale.jpg
5,Athlete Dying Young,"The smart lad who dodged and hurdled the vanity of the world. No laurels to crown, no records to beat, this athletic specimen cut early down in life is better for it. His soul will now feed on eternal salvation away from the Barmecidal feast and crowds, cheers, trophies, and tokens. We find it a sad sight for young talent to diminish. We hurt to see a town's beacon to be stunted and uprooted in its blossoming. But we learn of the brief garland, the withering laurel, the fading name, but also meek souls who flourish far from earthly fame and fortune.","Smart lad, to slip betimes away/From fields where glory does not stay,/And early though the laurel grows/It withers quicker than the rose./Eyes the shady night has shut/Cannot see the record cut/And silence sounds no worse than cheers/After earth has stopped the ears:/Now you will not swell the rout/Of lads that wore their honours out,/Runners whom renown outran/And the name died before the man",AthleteDying.jpg
6,Barney Gumble,"The middle-aged town drunk who lives a loveless, aimless life on a bar stool. For whatever reason, Barney's childhood promise dissolved away into a bottle. We see the antics and the jokes. We hear the dull voice and long burps. But we imbibe a lonely, soulful creature who would like a sober way out. As addiction mounts through the years, as Springfield passes along its events, as times progresses, Barney, somebody's best friend, a bar owner's steady customer, will be sure to keep his rightful post. But that doesn't mean the end of the dreaming, of the hoping; and we admit he had not yet died.","My name is Barney Gumble. I'm forty, I'm single, and I drink. There's a line in Othello about a drinker: 'Now a sensible man, by and by a fool, and presently a beast.' That pretty well covers it. Don't cry for me, I'm already dead.",Barney.jpg
7,Bartleby,"The stoic, mysterious clerk of a Wall Street law office who lives and dies alone. Familyless, friendless, Bartleby lives as a frozen sentinel through his existence. When commanded by a boss, beseeched by co-workers, urged by strangers, Bartleby gives the usual refrain: ""I prefer not to."" Eventually, he is fired; eventually, he is homeless; eventually, he starves to death. No one knows the how or why. But this unknown scrivener evokes some trait of humanity, some element of suffering and endurance. And we pause to take in his message in the silence of our hearts.","He remained as ever, a fixture in my chamber. Nay–if that were possible–he became still more of a fixture than before. What was to be done? He would do nothing in the office: why should he stay there? In plain fact, he had now become a millstone to me, not only useless as a necklace, but afflictive to bear. Yet I was sorry for him. I speak less than truth when I say that, on his own account, he occasioned me uneasiness. If he would but have named a single relative or friend, I would instantly have written, and urged their taking the poor fellow away to some convenient retreat. But he seemed alone, absolutely alone in the universe. A bit of wreck in the mid Atlantic.",Bartleby.jpg
8,Belle,"The sympathetic maiden who tamed a ruthless beast. From modest origins in a small town, Belle sacrificed herself for a father's welfare. Caught in an enchanted castle with intolerant, vigilante townspeople, Belle fights for virtue. For anyone who thinks outer beauty is not the manifestation of inner beauty, behold this lovely, gentle being. An avid reader, an outspoken young woman with ideas, Belle shines light on a dark kingdom, casting off spells, turning gargoyles into angels, and a beast into a human. She even shows the story of love can be new and vibrant and not a tale as old as time.",,Belle.jpg
9,Bernard,"The bookish nerd of a friend who showed how responsibility and diligence in his schoolwork can lead to success years later. Bernard was liked but not well liked in high school. He suffered the burdens of false values where men are judged by reputation and popularity among peers, while others, himself included, fall by the wayside as nobodys. Yet, the poor hardworking Bernard endured his unpopularity and the cruel mockery for his anemic, worrisome personality. Eventually, this small iota of a man rose up in status and significance from a dissed, weak kid to an important lawyer arguing a case to the Supreme Court. In the end, his childhood nightmare woke up to the American Dream. ",,Bernard.jpg
10,Bigger Thomas,"A restless, uneducated twenty-year old black male whose life's story was being in the wrong place at the wrong time. Crawling out from the lower rung of the social ladder in the cramped constriction of Chicago's South Side, poor Bigger Thomas has been limited all his life by the white man in all thinking, feeling, and doing. Never the hard-core animal prevalent in most ruthless serial killers or hopeless, indifferent man who has nothing to lose, Bigger only wanted was denied him: life, liberty, and the pursuit of happiness. Instead, he was doomed to a six-by-four prison cell and an electric chair.","Mr. Max, I sort of saw myself after that night. And I sort of saw other people, too. Well, it's sort of funny, Mr. Max. I ain't trying to dodge what's coming to me. I know I'm going to get it. I'm going to die. Well, that's all right now. But really I never wanted to hurt nobody. That's the truth, Mr. Max. I hurt folks 'cause I felt I had to; that's all. They was crowding me too close; they wouldn't give me no room. Lots of times I tried to forget 'em, but I couldn't. They wouldn't let me. Mr. Max, I didn't mean to do what I did. I was trying to do something else. But it seems I never could. I was always wanting something and I was feeling that nobody would let me have it. So I fought 'em. I thought they was hard and I acted hard. But I ain't hard, Mr. Max. I ain't hard even a little bit.",BiggerThomas.jpg
